YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,FLT_DEP_IFR_2,FLT_ARR_IFR_2,FLT_TOT_IFR_2
2016,01,JAN,01-01-16,LATI,Tirana,Albania,24,27,51,,,
2016,01,JAN,01-01-16,UDYZ,Yerevan,Armenia,8,15,23,,,
2016,01,JAN,01-01-16,LOWG,Graz,Austria,6,7,13,,,
2016,01,JAN,01-01-16,LOWI,Innsbruck,Austria,26,32,58,,,
2016,01,JAN,01-01-16,LOWK,Klagenfurt,Austria,3,4,7,,,
2016,01,JAN,01-01-16,LOWL,Linz,Austria,3,5,8,,,
2016,01,JAN,01-01-16,LOWS,Salzburg,Austria,23,26,49,,,
2016,01,JAN,01-01-16,LOWW,Vienna,Austria,210,176,386,210,179,389
2016,01,JAN,01-01-16,EBAW,Antwerp,Belgium,4,3,7,,,
2016,01,JAN,01-01-16,EBBR,Brussels,Belgium,174,171,345,174,161,335
2016,01,JAN,01-01-16,EBCI,Charleroi,Belgium,45,47,92,45,45,90
2016,01,JAN,01-01-16,EBLG,Liège,Belgium,6,7,13,,,
2016,01,JAN,01-01-16,EBOS,Ostend-Bruges,Belgium,7,7,14,,,
2016,01,JAN,01-01-16,LQSA,Sarajevo,Bosnia and Herzegovina,5,6,11,,,
2016,01,JAN,01-01-16,LBSF,Sofia,Bulgaria,26,26,52,26,24,50
2016,01,JAN,01-01-16,LDZA,Zagreb,Croatia,24,22,46,,,
2016,01,JAN,01-01-16,LCLK,Larnaca,Cyprus,25,27,52,,,
2016,01,JAN,01-01-16,LCPH,Paphos,Cyprus,6,6,12,,,
2016,01,JAN,01-01-16,LKMT,Ostrava,Czech Republic,2,3,5,,,
2016,01,JAN,01-01-16,LKPR,Prague,Czech Republic,121,118,239,120,117,237
2016,01,JAN,01-01-16,LKTB,Brno-Tuřany,Czech Republic,3,1,4,,,
2016,01,JAN,01-01-16,EKCH,Copenhagen - Kastrup,Denmark,193,188,381,193,185,378
2016,01,JAN,01-01-16,EETN,Tallinn,Estonia,24,28,52,25,30,55
2016,01,JAN,01-01-16,EETU,Tartu,Estonia,1,1,2,,,
2016,01,JAN,01-01-16,EFHK,Helsinki - Vantaa,Finland,161,145,306,164,148,312
2016,01,JAN,01-01-16,LFBA,Agen-La Garenne,France,0,1,1,,,
2016,01,JAN,01-01-16,LFBD,Bordeaux-Mérignac,France,55,54,109,,,
2016,01,JAN,01-01-16,LFBE,Bergerac-Roumanière,France,2,2,4,,,
2016,01,JAN,01-01-16,LFBH,La Rochelle-Ile de Ré,France,0,2,2,,,
2016,01,JAN,01-01-16,LFBI,Poitiers-Biard,France,1,1,2,,,
2016,01,JAN,01-01-16,LFBL,Limoges-Bellegarde,France,2,2,4,,,
2016,01,JAN,01-01-16,LFBO,Toulouse-Blagnac,France,65,70,135,,,
2016,01,JAN,01-01-16,LFBP,Pau-Pyrénées,France,8,9,17,,,
2016,01,JAN,01-01-16,LFBT,Tarbes-Lourdes Pyrénées,France,3,3,6,,,
2016,01,JAN,01-01-16,LFBZ,Biarritz-Bayonne-Anglet,France,9,10,19,,,
2016,01,JAN,01-01-16,LFCR,Rodez-Marcillac,France,1,2,3,,,
2016,01,JAN,01-01-16,LFGJ,Dôle-Tavaux,France,1,1,2,,,
2016,01,JAN,01-01-16,LFJL,Metz-Nancy-Lorraine,France,2,2,4,,,
2016,01,JAN,01-01-16,LFKB,Bastia-Poretta,France,11,12,23,,,
2016,01,JAN,01-01-16,LFKC,Calvi-Sainte-Catherine,France,5,3,8,,,
2016,01,JAN,01-01-16,LFKF,Figari-Sud Corse,France,5,5,10,,,
2016,01,JAN,01-01-16,LFKJ,Ajaccio-Napoléon-Bonaparte,France,11,12,23,,,
2016,01,JAN,01-01-16,LFLB,Chambéry-Aix-les-Bains,France,20,16,36,,,
